1000268201_693b08cb0e.jpg#0	ピンクのドレスを着た子供は、入り口で階段を登っています。
2120469056_7a738413be.jpg#0	緑のショートパンツの少年は、屋外プールで黒いショートパンツの男の子を通り過ぎます。
2120469056_7a738413be.jpg#1	2人の男の子が晴れた日に泳いでいます。
2120469056_7a738413be.jpg#2	緑の水で泳いでいる2人の子供。
2120469056_7a738413be.jpg#3	2人の若い男の子が泳いで屋外の噴水で遊ぶ。
2120469056_7a738413be.jpg#4	緑の水のプールで泳いでいる2人の若い男の子。
2120571547_05cd56de85.jpg#0	電車に座っている黒人の女性。
2120571547_05cd56de85.jpg#1	女性が地下鉄の列車の3席を横切って足を伸ばしています。
2120571547_05cd56de85.jpg#2	女性が地下鉄の車の座席に足を置いている。
2120571547_05cd56de85.jpg#3	冬の服を着た2人の女性は、オレンジ色と黄色い座席を備えた地下鉄の車に乗っています。
2120571547_05cd56de85.jpg#4	2人の女性が都市の列車に座っています。
2121140070_a09644550b.jpg#0	人々のグループが大きな赤いリングで遊んでいます。
2121140070_a09644550b.jpg#1	人々のグループが草の畑に集まり、ピンクのフープを投げます。
2121140070_a09644550b.jpg#2	大きな庭の人々のグループがディスクを投げます。
2121140070_a09644550b.jpg#3	子供たちは究極のフリスビーを演奏します。
2121140070_a09644550b.jpg#4	フィールドで赤いリングで遊んでいる男性。
2121357310_f8235311da.jpg#0	水着を着た少年は、濡れたプラスチックのストレッチに沿ってスライドします。
2121357310_f8235311da.jpg#1	別の男の子が通り過ぎると、少年がウォータースライドを滑り落ちます。
2121357310_f8235311da.jpg#2	黒いショートパンツの男がタープを滑らせています。
2121357310_f8235311da.jpg#3	黒いショートパンツの少年は、背景に緑の木がある水で覆われた黒い表面に滑ります。
2121357310_f8235311da.jpg#4	濡れたプラスチック表面に滑る少年
2123932281_1a4fd38455.jpg#0	ホルタートップを着た女の子がテーブルでケーキを食べます。
2123932281_1a4fd38455.jpg#1	小さな女の子が彼女の皿を持ち上げます。
2123932281_1a4fd38455.jpg#2	小さな女の子が木製のテーブルでケーキとイチゴを食べています。
2123932281_1a4fd38455.jpg#3	若い女の子がテーブルに座って食べます。
2123932281_1a4fd38455.jpg#4	小さな女の子は屋外で食べています。
2124040721_bffc0a091a.jpg#0	白い髪の年配の男性は、青いジャケットと明るい赤い帽子です。
2124040721_bffc0a091a.jpg#1	赤い帽子と黒いレインコートを着た老人。
2124040721_bffc0a091a.jpg#2	赤い帽子をかぶった白い髪の老人
2124040721_bffc0a091a.jpg#3	人は赤い帽子で、冬のジャケットは遠くを覗き込んでいます。
2124040721_bffc0a091a.jpg#4	白髪の人は赤い帽子をかぶって雪を見ています。
2125216241_5b265a2fbc.jpg#0	青と白のヨットがドックに座っています。
2125216241_5b265a2fbc.jpg#1	数人がドックにボートを駐車します。
2125216241_5b265a2fbc.jpg#2	シアトルワシントンのボートの上に3人の男性が立っています。
2125216241_5b265a2fbc.jpg#3	カメラから何かを見て、ボートのドックに3人が立っています。
2125216241_5b265a2fbc.jpg#4	3人がドッキングされたボートに立っています。
2125454445_5c5c4bf906.jpg#0	長い木材を運ぶ犬のシャツを着た黒と白の犬。
2125454445_5c5c4bf906.jpg#1	格子縞のコートを着た黒と白の犬が非常に長い棒を運んでいます。
2125454445_5c5c4bf906.jpg#2	ひもに乗っている黒と白の犬は、格子縞の衣装を着ています。
2125454445_5c5c4bf906.jpg#3	大きな棒を運んでいるシャツを着たひもにつながれた小さな黒人と白の犬。
2125454445_5c5c4bf906.jpg#4	小さな犬が非常に大きな手足で遊んでいます。
2125626631_a4b63af97e.jpg#0	フリスビーを捕まえる犬。
2125626631_a4b63af97e.jpg#1	犬は、口の中で緑と黒のフリスビーを捕まえるために忠実な飛躍をします。
2125626631_a4b63af97e.jpg#2	跳躍している犬は、緑と黒のフリスビーを捕まえます。
2125626631_a4b63af97e.jpg#3	緑のおもちゃを捕まえながら、白い犬が空中にあります。
2125626631_a4b63af97e.jpg#4	小型犬は横にジャンプして柔らかいディスクをキャッチします。
2126950128_74a4882658.jpg#0	灰色の女性がタバコを吸っています。
2126950128_74a4882658.jpg#1	黒い袋を持った女性がタバコを吸っています
2126950128_74a4882658.jpg#2	ジーンズの赤い髪とタバコを持っている灰色のセーターを持つ女性。
2126950128_74a4882658.jpg#3	赤毛の女性は、タバコを口に入れながら財布を保持します。
2126950128_74a4882658.jpg#4	黒い財布を持っている女性はタバコを吸っています。
2127031632_77505e4218.jpg#0	雪の中で赤いディスクに座っている赤いジャケットを着た子供。
2127031632_77505e4218.jpg#1	赤いディスクのそばの子供が小さな雪に覆われた丘を滑り落ちます。
2127031632_77505e4218.jpg#2	子供は雪の中の赤いディスクの上に座っています。
2127031632_77505e4218.jpg#3	ヘルメットを着ている子供は、雪の中で外の赤いそりに座っています。
2127031632_77505e4218.jpg#4	青いヘルメットを着て雪の丘を眠りながら小さな子供
2127207912_9298824e66.jpg#0	二人は岩の上に立って、見下ろしながら別の岩に立ち向かう
2127207912_9298824e66.jpg#1	3人が岩だらけの地形を通り抜けます。
2127207912_9298824e66.jpg#2	3人がロッククライミングに参加しています。
2127207912_9298824e66.jpg#3	2人の女性のハイカーは、深い隙間を見下ろしながら、彼らの前の岩にぶら下がっています。
2127207912_9298824e66.jpg#4	バックパックを着ている2人と赤いショートパンツを着た女性が、いくつかの大きな岩層の上に立っています。
2127209046_94711c747b.jpg#0	グループが2つの巨大な岩層を歩いています。
2127209046_94711c747b.jpg#1	ハイカーのハイキングのグループ。
2127209046_94711c747b.jpg#2	赤い粘土の道を歩いているハイカー。
2127209046_94711c747b.jpg#3	一部のハイカーは、興味深い岩層の間を走る小川を通り過ぎています。
2127209046_94711c747b.jpg#4	一部の若い大人は岩と小川でハイキングします。
2128119486_4407061c40.jpg#0	赤ちゃんが食べて、彼の顔に食べ物を持っています。
2128119486_4407061c40.jpg#1	果物を食べるの厄介な唇のある少年
2128119486_4407061c40.jpg#2	小さな男の子が何かを食べて、彼の口全体にそれを手に入れました。
2128119486_4407061c40.jpg#3	口全体にベリーを持つ小さな子供。
2128119486_4407061c40.jpg#4	彼の唇に赤いシロップを入れた若い茶色の目をした少年がシロップを注いでいます。
2129430111_338a94f8fb.jpg#0	バックパッカーが腕を組んで山の前を歩いています。
2129430111_338a94f8fb.jpg#1	山の小道を歩いている赤い帽子のハイカー。
2129430111_338a94f8fb.jpg#2	バックパックのあるハイカーは、雪に覆われた山を背景に歩いています。
2129430111_338a94f8fb.jpg#3	ハイキングに行く巨大なバックパックを持つ赤い帽子をかぶった人。
2129430111_338a94f8fb.jpg#4	彼女が山岳地帯でハイキングするとき、女性は自分自身を抱きしめます。
2130203183_49bae96b96.jpg#0	茶色の犬が雪だるまの前に一人で座っています。
2130203183_49bae96b96.jpg#1	茶色の犬が大きな雪の止めの隣に座っています。
2130203183_49bae96b96.jpg#2	氷と雪の中に座っている犬。
2130203183_49bae96b96.jpg#3	茶色の犬は雪に覆われた道に座っています。
2130203183_49bae96b96.jpg#4	犬は雪の吹きだに座っています。
2130851544_d36f4f2ea6.jpg#0	少年が大きなつららを持っています。
2130851544_d36f4f2ea6.jpg#1	少年がつららを持っています
2130851544_d36f4f2ea6.jpg#2	つららのふりをしている温かく服を着た少年は銃です。
2130851544_d36f4f2ea6.jpg#3	氷の彫刻銃で遊ぶふりをしている少年
2130851544_d36f4f2ea6.jpg#4	それを銃のふりをしているdicicleを持っている少年。
2130986011_47cb05c8c9.jpg#0	オレンジ色の子供が青いそりに乗って雪の中でポーズをとります。
2130986011_47cb05c8c9.jpg#1	プラスチックのそりにいる子供。
2130986011_47cb05c8c9.jpg#2	子供のそり。
2130986011_47cb05c8c9.jpg#3	オレンジ色のゴーグルとコートを着た小さな男の子が雪の中で青いそりで遊んでいます。
2130986011_47cb05c8c9.jpg#4	顔に雪が降っている幼い子供は青いそりから抜け出します。
2131762850_5293a288d9.jpg#0	オレンジ色のジャケットを着た少年は不幸に見えます。
2131762850_5293a288d9.jpg#1	オレンジ色のコートを着た少年がカメラでウィンクします。
2131762850_5293a288d9.jpg#2	雪に巻き込まれた少年は、ヘルメットとオレンジ色のLLビーンジャケットを着ています。
2131762850_5293a288d9.jpg#3	オレンジ色のジャケットを着た子供と雪の中で遊んでいるヘルメット。
2131762850_5293a288d9.jpg#4	赤いジャケットとヘルメットを身に着けている少年はウインクしている
213216174_0632af65a2.jpg#0	少年は、ウォータースライドの近くのプールに飛び込みます。
213216174_0632af65a2.jpg#1	ブルースイムトランクの少年がプールに飛び込み、2人の大人が見ています。
213216174_0632af65a2.jpg#2	プールで遊んでいる子供。
213216174_0632af65a2.jpg#3	青い水着を着た少年は、プールの上の空気を飛びます。
213216174_0632af65a2.jpg#4	少年はカップルが見ているようにプールに飛び込んでいます。
2133650765_fc6e5f295e.jpg#0	少年があまり混雑していない公共のプールに飛び込みます。
2133650765_fc6e5f295e.jpg#1	ライフガードが見ている間、少年がプールに飛び込みます。
2133650765_fc6e5f295e.jpg#2	プールに飛び込む少年。
2133650765_fc6e5f295e.jpg#3	「ダイビングなし」というプールに飛び込む少年。
2133650765_fc6e5f295e.jpg#4	少年はプールに飛び込んでいます。
2135360514_7dcb9ed796.jpg#0	サンタの帽子をかぶった赤ちゃんは、茶色のソファの上に横たわっている間、サンタの姿を持っています。
2135360514_7dcb9ed796.jpg#1	サンタの帽子とサンタクロースの姿で遊んでいる赤い服を着た赤ちゃん。
2135360514_7dcb9ed796.jpg#2	赤ちゃんはサンタの帽子をかぶっています。
2135360514_7dcb9ed796.jpg#3	サンタの衣装の赤ちゃんは、赤ちゃんサンタを持っています。
2135360514_7dcb9ed796.jpg#4	赤ちゃんはサンタの置物を持っています。
2135502491_a15c6b5eae.jpg#0	雪の中を走る美しい茶色と白いセントバーナード
2135502491_a15c6b5eae.jpg#1	セントバーナードが雪の中に突進します。
2135502491_a15c6b5eae.jpg#2	雪の中をギャロッピングする赤い襟を着た大きなセントバーナード犬。
2135502491_a15c6b5eae.jpg#3	雪の畑を走っているセントバーナード犬。
2135502491_a15c6b5eae.jpg#4	大きな茶色と白の犬は雪の中を走っています。
2136455112_202c093ba4.jpg#0	幼い子供のローラースケートを助ける男。
2136455112_202c093ba4.jpg#1	お母さんは息子がローラーブレードを手伝っています。
2136455112_202c093ba4.jpg#2	子供が暗いリンクで一緒にスケートをするのを手伝っている大人。
2136455112_202c093ba4.jpg#3	アイススケートリンクに赤いシャツを着た小さな子供と一緒にアダルトアイススケート。
2136455112_202c093ba4.jpg#4	大人は、アイススケートをしようとしている子供を抱きしめています。
2136514643_93d8f75a77.jpg#0	美しい植物の前に立っている電話の女の子は、別の笑顔の女の子によって渡されます。
2136514643_93d8f75a77.jpg#1	白いスウェットシャツとジャンショーツを着ている女の子は、彼女が歩いているときに彼女の顔に大​​きな笑顔を持っています。
2136514643_93d8f75a77.jpg#2	笑顔の女の子が歩いている人と電話をかけた眉をひそめます。
2136514643_93d8f75a77.jpg#3	10代の少女が携帯電話で別の女の子を通り過ぎます。
2136514643_93d8f75a77.jpg#4	若い女性が別の若い女性が電話で話し、壁に寄りかかっています。
2136992638_098d62a3c5.jpg#0	茶色と黒い犬が襟を着て、お互いに遊んでいます。
2136992638_098d62a3c5.jpg#1	歩道で黒い犬を噛む茶色の犬
2136992638_098d62a3c5.jpg#2	赤い襟を持つ茶色の犬は、黒い犬を噛んでいます。
2136992638_098d62a3c5.jpg#3	2匹の犬、1匹の茶色と1匹の黒が互いに遊んでいます。
2136992638_098d62a3c5.jpg#4	2匹の犬、1つの茶色、もう1つの黒と白が歩道で遊んでいます。
2137071442_1c9658c81a.jpg#0	少年はクリスマスツリーの前で軽いサーベルを持っています。
2137071442_1c9658c81a.jpg#1	少年はクリスマス中に新しいおもちゃを見ます
2137071442_1c9658c81a.jpg#2	少年はクリスマスのために軽いサーベルを受け取ります。
2137071442_1c9658c81a.jpg#3	クリスマスツリーの屋内での少年、緑の軽い剣のおもちゃで遊んでいます。
2137071442_1c9658c81a.jpg#4	床に散らばっている包装紙でクリスマスツリーの前で軽いサーベルを持っている少年。
2137789511_69a6c6afa8.jpg#0	ビーチに乗っている自転車の男。
2137789511_69a6c6afa8.jpg#1	男は青と白の空の下で自転車に乗っています。
2137789511_69a6c6afa8.jpg#2	海でビーチで自転車に乗っている男。
2137789511_69a6c6afa8.jpg#3	空に多くの目に見える蒸気のトレイルがあるビーチで自転車に乗っている大人。
2137789511_69a6c6afa8.jpg#4	人が海の横の砂の中に自転車に乗っています。
2138487671_5b89104043.jpg#0	湖に飛び込む少年。
2138487671_5b89104043.jpg#1	まだ湖に飛び込む少年
2138487671_5b89104043.jpg#2	少年が板から湖に飛び降ります。
2138487671_5b89104043.jpg#3	少年は湖に飛び込んでいます。
2138487671_5b89104043.jpg#4	青いシャツを着た少年は水に飛び込んでいます。
2139519215_8ca16dd192.jpg#0	女の子がプールの隣を歩いています。
2139519215_8ca16dd192.jpg#1	青とピンクの水着を着た若い女の子がプールの周りを走ります。
2139519215_8ca16dd192.jpg#2	プールの隣で走っている女の子。
2139519215_8ca16dd192.jpg#3	水着を着た少女は、青いプールを通り過ぎます。
2139519215_8ca16dd192.jpg#4	アクアツーピースの水着の少女は、アクアプールの前にあります。
2140182410_8e2a06fbda.jpg#0	黒い冬の服を着た少年は、雪の山で膨らんだそりに座っています。
2140182410_8e2a06fbda.jpg#1	子供がチューブで雪を乗り下ろします。
2140182410_8e2a06fbda.jpg#2	子供は雪の中に浮かんでいます。
2140182410_8e2a06fbda.jpg#3	積み上げられた雪の中にプラスチックの爆発のフロートに座っている人がいます。
2140182410_8e2a06fbda.jpg#4	この人は、雪のために束ねられ、インターチューブで丘を滑り落ちます。
2140305708_591d10b54d.jpg#0	青い水着を着た少女がビーチの水から離れています。
2140305708_591d10b54d.jpg#1	青い入浴スーツを着た女の子がビーチを横切って歩きます。
2140305708_591d10b54d.jpg#2	ビーチで青い二枚の入浴スーツを着た女の子。
2140305708_591d10b54d.jpg#3	若い女の子が水着を着ていて、海は彼女の後ろにあります。
2140305708_591d10b54d.jpg#4	青いビキニの水着を着た若い女の子。
2140747429_62cfd89ae9.jpg#0	雪の中の子供は背景に家を持っています。
2140747429_62cfd89ae9.jpg#1	小さな男の子が外に雪を投げています。
2140747429_62cfd89ae9.jpg#2	雪は地面と少年のジャケットを覆っています。
2140747429_62cfd89ae9.jpg#3	帽子に黄色い縞模様のある小さな男の子は雪の中にあります。
2140747429_62cfd89ae9.jpg#4	この少年は雪だるまを投げています。
2141065212_463a6997e1.jpg#0	黒い帽子とコートを着た男は、彼の後ろに群衆がいる顔を作ります。
2141065212_463a6997e1.jpg#1	男がNASCARジャケットを着ています。
2141065212_463a6997e1.jpg#2	年配の男性は、スポンサーシップのロゴで覆われた黒いジャケットを着ています。
2141065212_463a6997e1.jpg#3	車のレーシングハットとジャケットを着た眼鏡をかけた年配の男性。
2141065212_463a6997e1.jpg#4	黒い野球帽の白い髪の男は、車のレーシングのエンブレムで覆われた黒いジャケットを着ています。
2141713971_e25eb12712.jpg#0	女性と女の子が立ち上がって丘を下ってそりに乗っています。
2141713971_e25eb12712.jpg#1	青いジャケットとニットキャップを着ている女性と若い女の子が、雪のそりで丘を下って滑り、犬が走っています。
2141713971_e25eb12712.jpg#2	立っている間、雪に覆われた丘を下ってそりに乗っている女性と若い女の子。
2141713971_e25eb12712.jpg#3	そりに乗って犬と一緒に走っている女性と女の子
2141713971_e25eb12712.jpg#4	雪に覆われた丘に乗っているそりにいる2人。
2142232919_c857a09dd7.jpg#0	黒犬はオレンジ色のボールを運び、葉で覆われた地面を歩いています。
2142232919_c857a09dd7.jpg#1	口にオレンジ色のおもちゃを持った黒犬が秋の葉を歩いています。
2142232919_c857a09dd7.jpg#2	黒いラボの子犬は、秋の日にオレンジ色のボールで走ります。
2142232919_c857a09dd7.jpg#3	オレンジ色のボールを備えたブラックドッグは、枯れ葉にカメラに近づきます。
2142232919_c857a09dd7.jpg#4	黒犬はオレンジ色のボールで茶色の葉を歩きます。
2144049642_070cf541b4.jpg#0	マーカーのある女の子の色。
2144049642_070cf541b4.jpg#1	塗り絵の写真を慎重に着色しています。
2144049642_070cf541b4.jpg#2	若い女の子は、容器から多くの色を選択した塗り絵の本の中で色を付けます。
2144049642_070cf541b4.jpg#3	屋内で写真を着色する小さな女の子。
2144049642_070cf541b4.jpg#4	少女は色の鉛筆を使って塗り絵を飾っています。
2144050118_3e7d2e05b1.jpg#0	彼女の鼻を黒いペンの付いた茶色のシャツを着たブロンドの女の子
2144050118_3e7d2e05b1.jpg#1	小さな女の子は、鼻から突き出ているペンを持っています。
2144050118_3e7d2e05b1.jpg#2	若い女の子がカメラを見て、ペンが鼻を突き刺しています。
2144050118_3e7d2e05b1.jpg#3	広い目を持つ少女は、鼻からぶら下がっているマーカーを持っています。
2144050118_3e7d2e05b1.jpg#4	鼻に黒いペンを持って座っている若い女の子。
2144846312_d4c738dc6c.jpg#0	口全体に食べ物を持っている赤ちゃん。
2144846312_d4c738dc6c.jpg#1	彼の顔に離乳食を持っている小さな男の子。
2144846312_d4c738dc6c.jpg#2	大人はよだれかけを着ている赤ちゃんを抱きしめ、赤ちゃんは口の周りに食べ物を持っています。
2144846312_d4c738dc6c.jpg#3	赤ちゃんはよだれかけを着て、大人に座っています」
2144846312_d4c738dc6c.jpg#4	オレンジ色の唇がカメラを見つめている赤ちゃんがいます。
214501174_6db1f4d69c.jpg#0	草の上でジャンプする犬。
214501174_6db1f4d69c.jpg#1	犬が飛び上がり、草が茂ったフィールドでテニスボールをキャッチします。
214501174_6db1f4d69c.jpg#2	金色の犬がボールをキャッチしようとする試みに飛びついています。
214501174_6db1f4d69c.jpg#3	空中の犬
214501174_6db1f4d69c.jpg#4	犬は草の上の空中にあります。
214543992_ce6c0d9f9b.jpg#0	黒と白の犬が芝生の上でボールで遊んでいます。
214543992_ce6c0d9f9b.jpg#1	ボールが頭の上に投げられると、黒と白の犬が跳ね上がります。
214543992_ce6c0d9f9b.jpg#2	犬が飛び上がって飛び上がってジャンプしています。
214543992_ce6c0d9f9b.jpg#3	黒と白の犬は庭でボールをキャッチしようとしています。
214543992_ce6c0d9f9b.jpg#4	犬は、何かが投げられているのを捕まえるのを待って飛び上がります。
2147199188_d2d70b88ec.jpg#0	男は池の上に逆さまに男の子を抱きしめます。
2147199188_d2d70b88ec.jpg#1	男は、水たまりの上に逆さまに少年を抱きしめます。
2147199188_d2d70b88ec.jpg#2	男は小さな男の子と一緒に遊び、彼を逆さまにします。
2147199188_d2d70b88ec.jpg#3	岩の上に立っている腕の中で男の子を逆さまにしている男。
2147199188_d2d70b88ec.jpg#4	石で満たされた庭で逆さまに男の子を抱えているメガネを持った男。
2148013097_6a4f495bc5.jpg#0	窓を通して見ている3人の若い男の子。
2148013097_6a4f495bc5.jpg#1	2人の子供と1人の女性が窓の後ろから熱心に揺れます。
2148013097_6a4f495bc5.jpg#2	2人の子供が窓を通して、大人が後ろにいるのを見ています。
2148013097_6a4f495bc5.jpg#3	2人の小さな男の子と彼らのお母さんは窓の外側に微笑んでいます。
2148013097_6a4f495bc5.jpg#4	赤い縞模様のシャツを着た2人の幼い子供が窓から覗き込んでいますが、ピンクのシャツを着た大人が後ろから見ています。
2148695079_9ae6a9b1c7.jpg#0	雪の中に2匹のふわふわの白い犬がいます。
2148695079_9ae6a9b1c7.jpg#1	2匹の白い犬が深い白い雪の中を歩いています。
2148695079_9ae6a9b1c7.jpg#2	2匹の白い犬が雪に覆われた環境で歩きます
2148695079_9ae6a9b1c7.jpg#3	雪の中を歩いている2匹の白い犬。
2148695079_9ae6a9b1c7.jpg#4	2匹の白い犬が巨大な山の雪の中を歩きます。
2148916767_644ea6a7fa.jpg#0	一緒に雪の中で遊んでいる黒と白の犬
2148916767_644ea6a7fa.jpg#1	雪の中を歩いている間、白いプードルの頭にジャンプする黒いプードル。
2148916767_644ea6a7fa.jpg#2	雪に覆われた道で白い犬を飛び越える黒犬。
2148916767_644ea6a7fa.jpg#3	雪の中で遊んでいる2匹の犬。
2148916767_644ea6a7fa.jpg#4	2つのプードルが雪の中を走っています。
2148991939_3b9fd6c439.jpg#0	黒い犬がドックから水に飛び込んでいます。
2148991939_3b9fd6c439.jpg#1	水に飛び込む黒犬
2148991939_3b9fd6c439.jpg#2	黒い犬が桟橋から湖に飛び降ります。
2148991939_3b9fd6c439.jpg#3	犬がドックから飛び降りて水に飛び込みます。
2148991939_3b9fd6c439.jpg#4	ブラックドッグはドックから跳躍して水に飛び込みます。
2149968397_a7411729d1.jpg#0	子供がビーチに向かって水を歩いています。
2149968397_a7411729d1.jpg#1	小さなアフリカの少年が海を出て、他の多くの人が彼の後ろで遊び続けています。
2149968397_a7411729d1.jpg#2	海で遊んでいる小さな黒人の子供。
2149968397_a7411729d1.jpg#3	若い男の子が海を揺らします。
2149968397_a7411729d1.jpg#4	少年が波状の海岸に沿って水を歩いています。
2149982207_5345633bbf.jpg#0	黒と青のライフベストを着ている少年は、水に向かって見ている緑の木製のボートに乗っています。
2149982207_5345633bbf.jpg#1	青いライフジャケットを着ている少年が緑のボートの側面を握っています。
2149982207_5345633bbf.jpg#2	子供は、外海の小さな風化した緑の船の側面を握っています。
2149982207_5345633bbf.jpg#3	生命のベストにいる小さな男の子がボートの側面を見出しています。
2149982207_5345633bbf.jpg#4	緑のボートに乗っている少年。
2150564996_d173a506d7.jpg#0	草の畑に立っている白いシャツを着た子供。
2150564996_d173a506d7.jpg#1	小さな男の子がオープンフィールドで遊んでいます。
2150564996_d173a506d7.jpg#2	白いドレスシャツを着た少年は、草が茂った平野で遊んでいます。
2150564996_d173a506d7.jpg#3	畑の白いシャツを着た少年
2150564996_d173a506d7.jpg#4	Tシャツとジーンズを着ている少年は、草が茂った畑を歩いています。
2151056407_c9c09b0a02.jpg#0	ふわふわの白い犬と2頭の白い羊の匂いがします。
2151056407_c9c09b0a02.jpg#1	小さな白い犬が2頭の羊を検査します。
2151056407_c9c09b0a02.jpg#2	白い犬がフェンスを通して羊を嗅いでいます。
2151056407_c9c09b0a02.jpg#3	フェンスを通して羊を嗅ぐ白い犬。
2151056407_c9c09b0a02.jpg#4	フェンスを通して羊にキスをしている白いふわふわした犬。
2151300603_248a9fe715.jpg#0	手の図が壁に表示され、その背後には女性が勉強します。
2151300603_248a9fe715.jpg#1	手の解剖学の写真。
2151300603_248a9fe715.jpg#2	女性が窓の近くの机に座っており、その上に手が塗られた巨大な写真があります。
2151300603_248a9fe715.jpg#3	女性が顧客の財産を伝えるのを待っているテーブルに座っています。
2151300603_248a9fe715.jpg#4	テーブルの背景に座っている女性
215214751_e913b6ff09.jpg#0	2人の漁師がいるボートが湖に平和に座っています。
215214751_e913b6ff09.jpg#1	霧の湖のボートに乗っている2人の男性のシルエット
215214751_e913b6ff09.jpg#2	川の漁船で2人の男性が楽しい朝を楽しんでいます。
215214751_e913b6ff09.jpg#3	2人が霧の状態の川のカヌーにいます。
215214751_e913b6ff09.jpg#4	バックグラウンドに木がある霧の湖の小さなボートで2人が漂います。
2156131463_5b53636cf0.jpg#0	人々のグループは、白い日陰の近くのビーチに立っています。
2156131463_5b53636cf0.jpg#1	水着を着た人々は、遠くの地形を見ているビーチにいます。
2156131463_5b53636cf0.jpg#2	2人の男性がビーチショアで他の人を見ています。
2156131463_5b53636cf0.jpg#3	ビーチのスピードスの2人の男性。
2156131463_5b53636cf0.jpg#4	熱帯のリゾートで海を見ている2人の男性が立っています。
2156726763_034ecd2e39.jpg#0	ピンクのジャケットを着た女の子と草の近くを歩いている赤い帽子。
2156726763_034ecd2e39.jpg#1	ピンクのコートと赤い帽子をかぶった女の子が砂利の道を歩きます。
2156726763_034ecd2e39.jpg#2	ピンクのコートを着た小さな女の子が未舗装の道を歩いています
2156726763_034ecd2e39.jpg#3	ピンクのジャケットを着た少女が歩いています。
2156726763_034ecd2e39.jpg#4	樹木が茂ったエリアの砂利道を歩いているピンクのジャケットを着た若い女の子。
2157003092_eaeb977789.jpg#0	黒い犬が足を雪に埋めて走ろうとしています。
2157003092_eaeb977789.jpg#1	黄褐色のマーキングを持つ黒犬は深い雪の中に立っています。右側に常緑樹があります。
2157003092_eaeb977789.jpg#2	犬は雪の中で遊ぶ。
2157003092_eaeb977789.jpg#3	犬は雪の中にあります。
2157003092_eaeb977789.jpg#4	犬は深い雪を追い越そうとしています。
2157173498_2eea42ee38.jpg#0	男はスノーボードをして、スノーヒルから飛び降りています。
2157173498_2eea42ee38.jpg#1	黒いジャケットを着た人は、夕方にはスノーボードをしています。
2157173498_2eea42ee38.jpg#2	雪の山からスノーボードをしている人のシルエット。
2157173498_2eea42ee38.jpg#3	バックグラウンドにカラフルな空がある雪のドリフトから飛び出すスノーボーダー。
2157173498_2eea42ee38.jpg#4	パーカーの人はスノーボードにいます。
2158247955_484f0a1f11.jpg#0	3匹の犬は雪に覆われたトラックを走っています。
2158247955_484f0a1f11.jpg#1	3匹の犬がタイヤトラックが入って雪を横切って走っています。
2158247955_484f0a1f11.jpg#2	3匹の犬は、ローカットフィールドから続く雪の踏面に沿って方向を向いています。
2158247955_484f0a1f11.jpg#3	雪の中を走る3匹の犬。
2158247955_484f0a1f11.jpg#4	雪の中でタイヤトラックで走っている3匹の犬。
2158267555_db1d94e468.jpg#0	年長の子供と大人が彼女の隣に立っている間、子供はポニーに乗っています。
2158267555_db1d94e468.jpg#1	少女が小さな女の子とポニーの横に立っている女性と一緒にポニーに乗っています。
2158267555_db1d94e468.jpg#2	女性と若い女の子が茶色のポニーに座っている別の若い女の子の隣に立っています。
2158267555_db1d94e468.jpg#3	子どもたちは、大人の監督で鉱物のポニーに乗ります。
2158267555_db1d94e468.jpg#4	2人が馬とそのライダーの周りに配置されています。
215876547_fa584c5ec3.jpg#0	男が湖を背景にした海岸のボートに座っています。
215876547_fa584c5ec3.jpg#1	男は、大きな水域の海岸に接地されたボートの後ろに座っています。
215876547_fa584c5ec3.jpg#2	湖の海岸のカヌーに座っている男。
215876547_fa584c5ec3.jpg#3	手rowぎボートに座っている男
215876547_fa584c5ec3.jpg#4	湖のそばにあるカヌーに座っている男。
2159447283_fab8c272b0.jpg#0	スパイダーマンの衣装を着ておもちゃの馬に乗っている女の子
2159447283_fab8c272b0.jpg#1	赤い髪とスパイダーマンのスーツを着た女の子が、腕を上げて口を開けながらおもちゃの馬に座っています。
2159447283_fab8c272b0.jpg#2	少し赤毛の少女は、遊び馬に乗っているときにスパイダーマンのスーツを着ています。
2159447283_fab8c272b0.jpg#3	スパイダーマンの衣装を着た若い女の子がおもちゃの馬に乗っています。
2159447283_fab8c272b0.jpg#4	スパイダーマンの衣装を着た若い赤毛の少女が趣味の馬に乗っています。
2160266952_a2ab39191b.jpg#0	ボールで跳ね返る男の子と女の子
2160266952_a2ab39191b.jpg#1	子供たちはホッピング中に黒いタイツを着ています。
2160266952_a2ab39191b.jpg#2	ガレージで赤と緑の弾力のあるボールで黒い跳ね返りをした2人の子供。
2160266952_a2ab39191b.jpg#3	2人の子供がカラフルなボールで跳ね返っています。
2160266952_a2ab39191b.jpg#4	ボールで跳ね返る2人の幼い子供。
216172386_9ac5356dae.jpg#0	自転車は、背景に山があり、上昇します。
216172386_9ac5356dae.jpg#1	赤いユニフォームを着た男とヘルメットが彼のバイクに立っています。
216172386_9ac5356dae.jpg#2	モトクロスの自転車が岩に乗っています。
216172386_9ac5356dae.jpg#3	下降しようとしているモトクロスバイカー
216172386_9ac5356dae.jpg#4	モーターサイクリストはサミットに到着しました。
2161799386_27aa938421.jpg#0	子供はバスルームを使用しています。
2161799386_27aa938421.jpg#1	ズボンを引き下げたまま、小さな男の子が青いトイレに座っています。
2161799386_27aa938421.jpg#2	頭を手に置いてトイレに座っている小さな男の子。
